time,x,y,z,yaw,pitch,roll
0,1.75,5,0,1.5707963267949,0,0
0.1,1.75,6.5,0,1.5707963267949,0,0
0.2,1.75,8,0,1.5707963267949,0,0
0.3,1.75,9.5,0,1.5707963267949,0,0
0.4,1.75,11,0,1.5707963267949,0,0
0.5,1.75,12.5,0,1.5707963267949,0,0
0.6,1.75,14,0,1.5707963267949,0,0
0.7,1.75,15.5,0,1.5707963267949,0,0
0.8,1.75,17,0,1.5707963267949,0,0
0.900000000000001,1.75,18.5,0,1.5707963267949,0,0
1,1.75,20,0,1.5707963267949,0,0
1.1,1.75,21.5,0,1.5707963267949,0,0
1.2,1.75,23,0,1.5707963267949,0,0
1.3,1.75,24.5,0,1.5707963267949,0,0
1.4,1.75,26,0,1.5707963267949,0,0
1.5,1.75,27.5,0,1.5707963267949,0,0
1.6,1.75,29,0,1.5707963267949,0,0
1.7,1.75,30.5,0,1.5707963267949,0,0
1.8,1.75,32,0,1.5707963267949,0,0
1.9,1.75,33.5,0,1.5707963267949,0,0
2,1.75,35,0,1.5707963267949,0,0
2.1,1.75,36.5,0,1.5707963267949,0,0
2.2,1.75,38,0,1.5707963267949,0,0
2.29999999999999,1.75,39.4999999999999,0,1.5707963267949,0,0
2.39999999999999,1.75,40.9999999999999,0,1.5707963267949,0,0
2.49999999999999,1.75,42.4999999999999,0,1.5707963267949,0,0
2.59999999999999,1.75,43.9999999999998,0,1.5707963267949,0,0
2.69999999999999,1.75,45.4999999999998,0,1.5707963267949,0,0
2.79999999999998,1.75,46.9999999999998,0,1.5707963267949,0,0
2.89999999999998,1.75,48.4999999999997,0,1.5707963267949,0,0
2.99999999999998,1.75,49.9999999999997,0,1.5707963267949,0,0
3.09999999999998,1.75,51.4999999999997,0,1.5707963267949,0,0
3.19999999999998,1.75,52.9999999999996,0,1.5707963267949,0,0
3.29999999999997,1.75,54.4999999999996,0,1.5707963267949,0,0
3.39999999999997,1.75,55.9999999999996,0,1.5707963267949,0,0
3.49999999999997,1.75,57.4999999999995,0,1.5707963267949,0,0
3.59999999999997,1.75,58.9999999999995,0,1.5707963267949,0,0
3.69999999999997,1.75,60.4999999999995,0,1.5707963267949,0,0
3.79999999999996,1.75,61.9999999999994,0,1.5707963267949,0,0
3.89999999999996,1.75,63.4999999999994,0,1.5707963267949,0,0
3.99999999999996,1.75,64.9999999999994,0,1.5707963267949,0,0
4.09999999999996,1.75,66.4999999999993,0,1.5707963267949,0,0
4.19999999999995,1.75,67.9999999999993,0,1.5707963267949,0,0
4.29999999999995,1.75,69.4999999999993,0,1.5707963267949,0,0
4.39999999999995,1.75,70.9999999999993,0,1.5707963267949,0,0
4.49999999999995,1.75,72.4999999999992,0,1.5707963267949,0,0
4.59999999999995,1.75,73.9999999999992,0,1.5707963267949,0,0
4.69999999999994,1.75,75.4999999999992,0,1.5707963267949,0,0
4.79999999999994,1.75,76.9999999999991,0,1.5707963267949,0,0
4.89999999999994,1.75,78.4999999999991,0,1.5707963267949,0,0
4.99999999999994,1.75,79.9999999999991,0,1.5707963267949,0,0
5.09999999999994,1.75,81.499999999999,0,1.5707963267949,0,0
5.19999999999993,1.75,82.999999999999,0,1.5707963267949,0,0
5.29999999999993,1.75,84.499999999999,0,1.5707963267949,0,0
5.39999999999993,1.75,85.9999999999989,0,1.5707963267949,0,0
5.49999999999993,1.75,87.4999999999989,0,1.5707963267949,0,0
5.59999999999993,1.75,88.9999999999989,0,1.5707963267949,0,0
5.69999999999992,1.75,90.4999999999988,0,1.5707963267949,0,0
5.79999999999992,1.75,91.9999999999988,0,1.5707963267949,0,0
5.89999999999992,1.75,93.4999999999988,0,1.5707963267949,0,0
5.99999999999992,1.75,94.9999999999987,0,1.5707963267949,0,0
6.09999999999991,1.75,96.4999999999987,0,1.5707963267949,0,0
6.19999999999991,1.75,97.9999999999987,0,1.5707963267949,0,0
6.29999999999991,1.75,99.4999999999986,0,1.5707963267949,0,0
6.39999999999991,1.75,100.999999999999,0,1.5707963267949,0,0
6.49999999999991,1.75,102.499999999999,0,1.5707963267949,0,0
6.5999999999999,1.75,103.999999999999,0,1.5707963267949,0,0
6.6999999999999,1.75,105.499999999999,0,1.5707963267949,0,0
6.7999999999999,1.75,106.999999999998,0,1.5707963267949,0,0
6.8999999999999,1.75,108.499999999998,0,1.5707963267949,0,0
6.9999999999999,1.75,109.999999999998,0,1.5707963267949,0,0
7.09999999999989,1.75,111.499999999998,0,1.5707963267949,0,0
7.19999999999989,1.75,112.999999999998,0,1.5707963267949,0,0
7.29999999999989,1.75,114.499999999998,0,1.5707963267949,0,0
7.39999999999989,1.75,115.999999999998,0,1.5707963267949,0,0
7.49999999999988,1.75,117.499999999998,0,1.5707963267949,0,0
7.59999999999988,1.75,118.999999999998,0,1.5707963267949,0,0
7.69999999999988,1.75,120.499999999998,0,1.5707963267949,0,0
7.79999999999988,1.75,121.999999999998,0,1.5707963267949,0,0
7.89999999999988,1.75,123.499999999998,0,1.5707963267949,0,0
7.99999999999987,1.75,124.999999999998,0,1.5707963267949,0,0
8.09999999999987,1.75,126.499999999998,0,1.5707963267949,0,0
8.19999999999987,1.75,127.999999999998,0,1.5707963267949,0,0
8.29999999999987,1.75,129.499999999998,0,1.5707963267949,0,0
8.39999999999987,1.75,130.999999999998,0,1.5707963267949,0,0
8.49999999999986,1.75,132.499999999998,0,1.5707963267949,0,0
8.59999999999986,1.75,133.999999999998,0,1.5707963267949,0,0
8.69999999999986,1.75,135.499999999998,0,1.5707963267949,0,0
8.79999999999986,1.75,136.999999999998,0,1.5707963267949,0,0
8.89999999999985,1.75,138.499999999998,0,1.5707963267949,0,0
8.99999999999985,1.75,139.999999999998,0,1.5707963267949,0,0
9.09999999999985,1.75,141.499999999998,0,1.5707963267949,0,0
9.19999999999985,1.75,142.999999999998,0,1.5707963267949,0,0
9.29999999999985,1.75,144.499999999998,0,1.5707963267949,0,0
9.39999999999984,1.75,145.999999999998,0,1.5707963267949,0,0
9.49999999999984,1.75,147.499999999998,0,1.5707963267949,0,0
9.59999999999984,1.75,148.999999999998,0,1.5707963267949,0,0
9.69999999999984,1.75,150.499999999998,0,1.5707963267949,0,0
9.79999999999984,1.75,151.999999999998,0,1.5707963267949,0,0
9.89999999999983,1.75,153.499999999997,0,1.5707963267949,0,0
9.99999999999983,1.75,154.999999999997,0,1.5707963267949,0,0
10.0999999999998,1.75,156.499999999997,0,1.5707963267949,0,0
10.1999999999998,1.75,157.999999999997,0,1.5707963267949,0,0
10.2999999999998,1.75,159.499999999997,0,1.5707963267949,0,0
10.3999999999998,1.75,160.999999999997,0,1.5707963267949,0,0
10.4999999999998,1.75,162.499999999997,0,1.5707963267949,0,0
10.5999999999998,1.75,163.999999999997,0,1.5707963267949,0,0
10.6999999999998,1.75,165.499999999997,0,1.5707963267949,0,0
10.7999999999998,1.75,166.999999999997,0,1.5707963267949,0,0
10.8999999999998,1.75,168.499999999997,0,1.5707963267949,0,0
10.9999999999998,1.75,169.999999999997,0,1.5707963267949,0,0
11.0999999999998,1.75,171.499999999997,0,1.5707963267949,0,0
11.1999999999998,1.75,172.999999999997,0,1.5707963267949,0,0
11.2999999999998,1.75,174.499999999997,0,1.5707963267949,0,0
11.3999999999998,1.75,175.999999999997,0,1.5707963267949,0,0
11.4999999999998,1.75,177.499999999997,0,1.5707963267949,0,0
11.5999999999998,1.75,178.999999999997,0,1.5707963267949,0,0
11.6999999999998,1.75,180.499999999997,0,1.5707963267949,0,0
11.7999999999998,1.75,181.999999999997,0,1.5707963267949,0,0
11.8999999999998,1.75,183.499999999997,0,1.5707963267949,0,0
11.9999999999998,1.75,184.999999999997,0,1.5707963267949,0,0
12.0999999999998,1.75,186.499999999997,0,1.5707963267949,0,0
12.1999999999998,1.75,187.999999999997,0,1.5707963267949,0,0
12.2999999999998,1.75,189.499999999997,0,1.5707963267949,0,0
12.3999999999998,1.75,190.999999999997,0,1.5707963267949,0,0
12.4999999999998,1.75,192.499999999997,0,1.5707963267949,0,0
12.5999999999998,1.75,193.999999999997,0,1.5707963267949,0,0
12.6999999999998,1.75,195.499999999997,0,1.5707963267949,0,0
12.7999999999998,1.75,196.999999999997,0,1.5707963267949,0,0
12.8999999999998,1.75,198.499999999997,0,1.5707963267949,0,0
12.9999999999998,1.75,199.999999999997,0,1.5707963267949,0,0
13.0999999999998,1.75,201.499999999996,0,1.5707963267949,0,0
13.1999999999998,1.75,202.999999999996,0,1.5707963267949,0,0
13.2999999999998,1.75,204.499999999996,0,1.5707963267949,0,0
13.3999999999998,1.75,205.999999999996,0,1.5707963267949,0,0
13.4999999999998,1.75,207.499999999996,0,1.5707963267949,0,0
13.5999999999998,1.75,208.999999999996,0,1.5707963267949,0,0
13.6999999999998,1.75,210.499999999996,0,1.5707963267949,0,0
13.7999999999998,1.75,211.999999999996,0,1.5707963267949,0,0
13.8999999999997,1.75,213.499999999996,0,1.5707963267949,0,0
